Meetup Name,Location,Link,Members
Boulder Python,"Boulder, CO",https://www.meetup.com/BoulderPython/,1808
Denver Python Meetup,"Denver, CO",https://www.meetup.com/Denver-Python-Meetup/,1190
Front Range Pythoneers,"Denver, CO",https://www.meetup.com/frpythoneers/,1455
PyDEN,"Denver, CO",https://www.meetup.com/PyDENCO/,270
PyData Denver,"Denver, CO",https://www.meetup.com/PyData-Denver/,1517
Colorado Data Science,"Denver, CO",https://www.meetup.com/Colorado-Data-Science/,3749
DevOps Exchange DTC Meetup,"Englewood, CO",https://www.meetup.com/DevOps-Exchange-DTC-Meetup/,350
Boulder Women in Machine Learning & Data Science,"Boulder, CO",https://www.meetup.com/Boulder-Women-in-Machine-Learning-and-Data-Science/,550
