Meetup Name,Location,Link,Members
ODSC Austin Data Science,"Austin, TX",https://www.meetup.com/Data-Science-ODSC-Austin/,501
North Austin Pythonistas,"Pflugerville, TX",https://www.meetup.com/North-Austin-Pythonistas/,274
PyLadies ATX,"Austin, TX",https://www.meetup.com/PyLadies-ATX/,1345
Austin Web Python,"Austin, TX",https://www.meetup.com/austinwebpythonusergroup/,1893
Austin Learn Python Meetup,"Austin, TX",https://www.meetup.com/AustinLearnPython/,1001
PyData Austin,"Austin, TX",https://www.meetup.com/PyData-Austin/,1208
North Austin Pythonistas,"Pflugerville, TX",https://www.meetup.com/North-Austin-Pythonistas/,274
Aspiring Data Scientist Community,"Austin, TX",https://www.meetup.com/Aspiring-Data-Scientist-Community/,1211
The Austin Python Meetup,"Austin, TX",https://www.meetup.com/austinpython/,6881
