Meetup Name,Location,Link,Members
South Florida Python Users Group (SoFloPy),"Fort Lauderdale, FL",https://www.meetup.com/SoFloPy/,139
Python Developers Miami,"Miami, FL",https://www.meetup.com/Python-Developers-Miami-Meetup/,375
Miami Python Meetup Group,"Miami, FL",https://www.meetup.com/python-miami/,688
Miami PyLadies,"Miami, FL",https://www.meetup.com/Miami-PyLadies/,74
ODSC Miami Data Science,"Miami, FL",https://www.meetup.com/ODSC-Miami-Data-Science/,75
Data Science Study Group: South Florida,"Miami, FL",https://www.meetup.com/Data-Science-Study-Group-South-Florida/,1385
South Florida DevOps Group,"Boca Raton, FL",https://www.meetup.com/South-Florida-DevOps-Group/,193
Fort Lauderdale Machine Learning Meetup,"Fort Lauderdale, FL",https://www.meetup.com/Fort-Lauderdale-Machine-Learning-Meetup/,1929
<Breathe Code/>,"Miami, FL",https://www.meetup.com/breathe-code/,877
Miami Data Science Meetup,"Miami, FL",https://www.meetup.com/Miami-Data-Science-Meetup/,1487
