Meetup Name,Location,Link,Members
ODSC Austin Data Science,"Austin, TX",https://www.meetup.com/Data-Science-ODSC-Austin/,489
North Austin Pythonistas,"Pflugerville, TX",https://www.meetup.com/North-Austin-Pythonistas/,270
PyLadies ATX,"Austin, TX",https://www.meetup.com/PyLadies-ATX/,1332
Austin Web Python,"Austin, TX",https://www.meetup.com/austinwebpythonusergroup/,1891
Austin Learn Python Meetup,"Austin, TX",https://www.meetup.com/AustinLearnPython/,997
PyData Austin,"Austin, TX",https://www.meetup.com/PyData-Austin/,1205
North Austin Pythonistas,"Pflugerville, TX",https://www.meetup.com/North-Austin-Pythonistas/,270
Aspiring Data Scientist Community,"Austin, TX",https://www.meetup.com/Aspiring-Data-Scientist-Community/,1209
The Austin Python Meetup,"Austin, TX",https://www.meetup.com/austinpython/,6839
