Meetup Name,Location,Link,Members
DFW Pythoneers,"Plano, TX",https://www.meetup.com/dfwpython/,3998
"LittleBits, Nodebots, JavaScript, Python, IoT, and More!","Plano, TX",https://www.meetup.com/amRobotics/,1424
Collin County Data Science Education,"Plano, TX",https://www.meetup.com/Collin-County-Data-Science-Education/,448
RubyFTW - Fort Worth Open Source User Group,"Fort Worth, TX",https://www.meetup.com/RubyFTW-Fort-Worth-Ruby-User-Group/,264
Python for Everyone,"Dallas, TX",https://www.meetup.com/python4e/,1310
Dallas Women in Data,"Dallas, TX",https://www.meetup.com/Dallas-Women-in-Data/,563
Coding Dojo | Dallas,"Dallas, TX",https://www.meetup.com/codingdojo-dallas/,1895
